Date,Open,High,Low,Close,Adj Close,Volume
01/01/2021,19.25,19.8,18.8,18.84,18.84,6922700
01/02/2021,19.25,19.8,18.8,18.84,18.84,6922700
01/03/2021,19.25,19.8,18.8,18.84,18.84,6922700
01/04/2021,19,19.1,17.15,17.25,17.25,10022500
01/05/2021,17.35,18.08,17.23,17.370001,17.370001,4961500
01/06/2021,17.34,18.98,17.33,18.360001,18.360001,6056200
01/07/2021,18.469999,19.450001,18.02,18.08,18.08,6129300
01/08/2021,18.18,18.299999,17.08,17.690001,17.690001,6482000
01/09/2021,18.18,18.299999,17.08,17.690001,17.690001,6482000
01/10/2021,18.18,18.299999,17.08,17.690001,17.690001,6482000
01/11/2021,19.41,20.65,19.01,19.940001,19.940001,14908000
01/12/2021,19.959999,20.4,19.32,19.950001,19.950001,7060700
1/13/2021,20.42,38.650002,20.030001,31.4,31.4,144501700
1/14/2021,38.09,43.060001,33.049999,39.91,39.91,93717400
1/15/2021,38.490002,40.75,34.009998,35.5,35.5,46866400
1/16/2021,38.490002,40.75,34.009998,35.5,35.5,46866400
1/17/2021,38.490002,40.75,34.009998,35.5,35.5,46866400
1/18/2021,38.490002,40.75,34.009998,35.5,35.5,46866400
1/19/2021,41.549999,45.52,36.639999,39.360001,39.360001,74721900
1/20/2021,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
1/21/2021,39.23,44.75,37,43.029999,43.029999,56216900
1/22/2021,42.59,76.760002,42.32,65.010002,65.010002,197157900
1/23/2021,42.59,76.760002,42.32,65.010002,65.010002,197157900
1/24/2021,42.59,76.760002,42.32,65.010002,65.010002,197157900
1/25/2021,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
1/26/2021,88.559998,150,80.199997,147.979996,147.979996,178588000
1/27/2021,354.829987,380,249,347.51001,347.51001,93396700
1/28/2021,265,483,112.25,193.600006,193.600006,58815800
1/29/2021,379.709991,413.980011,250,325,325,50566100
1/30/2021,379.709991,413.980011,250,325,325,50566100
1/31/2021,379.709991,413.980011,250,325,325,50566100
02/01/2021,316.559998,322,212,225,225,37382200
02/02/2021,140.759995,158,74.220001,90,90,78183100
02/03/2021,112.010002,113.400002,85.25,92.410004,92.410004,42698500
02/04/2021,91.190002,91.5,53.330002,53.5,53.5,62427300
02/05/2021,54.040001,95,51.09,63.77,63.77,81345000
02/06/2021,54.040001,95,51.09,63.77,63.77,81345000
02/07/2021,54.040001,95,51.09,63.77,63.77,81345000
02/08/2021,72.410004,72.660004,58.02,60,60,25687300
02/09/2021,56.610001,57,46.52,50.310001,50.310001,26843100
02/10/2021,50.77,62.830002,46.549999,51.200001,51.200001,36455000
02/11/2021,50.009998,55.32,48.220001,51.099998,51.099998,13056700
02/12/2021,50.75,55.240002,48.049999,52.400002,52.400002,14573300
2/13/2021,50.75,55.240002,48.049999,52.400002,52.400002,14573300
2/14/2021,50.75,55.240002,48.049999,52.400002,52.400002,14573300
2/15/2021,50.75,55.240002,48.049999,52.400002,52.400002,14573300
2/16/2021,52.66,53.5,49.040001,49.509998,49.509998,8175000
2/17/2021,49.77,51.189999,44.560001,45.939999,45.939999,9186800
2/18/2021,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
2/19/2021,41.279999,43.889999,38.5,40.59,40.59,14828200
2/20/2021,41.279999,43.889999,38.5,40.59,40.59,14828200
2/21/2021,41.279999,43.889999,38.5,40.59,40.59,14828200
2/22/2021,46.689999,48.509998,42.400002,46,46,19476000
2/23/2021,44.970001,46.23,40,44.970001,44.970001,7565200
2/24/2021,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
2/25/2021,169.559998,184.679993,101,108.730003,108.730003,150308800
2/26/2021,117.459999,142.899994,86,101.739998,101.739998,92194200
